customer_id,email,first_name,last_name,phone,created_at
00c4c355-ed1a-43fb-8ae3-2052e5f95418,eleanor.vance@melodymaven.com,Eleanor,Vance,(415) 555-0101,2025-12-31 02:26:42.523821+00
09c2980d-d956-4dc9-a101-f0c6b5c25598,eli.brooks@vinylhaven.net,Eli,Brooks,(201) 555-0175,2025-12-31 02:26:42.523821+00
0b93f012-5267-49b6-a552-20dc9ac9d9c7,axel.patel@waxworks.co,Axel,Patel,(201) 555-0181,2025-12-31 02:26:42.523821+00
13c7b25f-4932-4816-ac5b-1cecddfa38d8,david.adams@groovegarden.org,David,Adams,(813) 555-0136,2025-12-31 02:26:42.523821+00
19fb2408-5aeb-44c1-b3f2-6981c55684e6,aaron.foster@analogechoes.co,Aaron,Foster,(862) 555-0177,2025-12-31 02:26:42.523821+00
1bf3938a-1ee3-4cc0-8a9a-5f3e7382bc5e,willow.morgan@jazzcollectors.com,Willow,Morgan,(973) 555-0182,2025-12-31 02:26:42.523821+00
1f131cc7-ab66-434c-b3c5-0d0640561609,gabriella.watson@soundofsilence.org,Gabriella,Watson,(347) 555-0160,2025-12-31 02:26:42.523821+00
2175b19b-035e-46ec-b17c-e9fa845b1094,ivy.cruz@soulfulrhythms.org,Ivy,Cruz,(609) 555-0196,2025-12-31 02:26:42.523821+00
2240aafd-c525-47fe-8cf7-553c15e92f1d,max.powell@vinylparadise.net,Max,Powell,(862) 555-0183,2025-12-31 02:26:42.523821+00
225db164-25a6-40fa-9002-6dd17ec0b0e9,leo.jenkins@analoglegacy.co,Leo,Jenkins,(732) 555-0169,2025-12-31 02:26:42.523821+00
27d89e40-5d48-4c8a-8ba0-b560efa8882e,sofia.hall@vinylsanctuary.net,Sofia,Hall,(704) 555-0127,2025-12-31 02:26:42.523821+00
31c84d17-a2b1-474b-9f8c-e0d6450e541b,john.carter@bluenotejazz.com,John,Carter,(561) 555-0138,2025-12-31 02:26:42.523821+00
31e82ac4-7a02-416f-b5d5-d0b7af4ea28c,isaac.ross@jazzcorner.org,Isaac,Ross,(718) 555-0156,2025-12-31 02:26:42.523821+00
3e84eaed-9df3-4b18-984c-0a0ae41c945a,joseph.lopez@timelessmelodies.org,Joseph,Lopez,(916) 555-0132,2025-12-31 02:26:42.523821+00
41250a94-1dfc-4005-8689-ee2306cffed0,harper.davis@vintagevinyls.net,Harper,Davis,(720) 555-0119,2025-12-31 02:26:42.523821+00
415152a7-c6c5-430f-9339-0270f90bb076,zoey.simmons@soulfulserenade.org,Zoey,Simmons,(908) 555-0180,2025-12-31 02:26:42.523821+00
456184dd-cf26-4eac-9b37-5ad3618c68ab,oliver.ross@groovegalaxy.net,Oliver,Ross,(201) 555-0187,2025-12-31 02:26:42.523821+00
45e9567d-4385-42b6-a0ce-6405621ddc57,charlotte.miller@vinylvault.net,Charlotte,Miller,(832) 555-0115,2025-12-31 02:26:42.523821+00
4870ae2e-1065-4982-b116-a727898987e6,ethan.murphy@soulfulspins.org,Ethan,Murphy,(512) 555-0108,2025-12-31 02:26:42.523821+00
4babe54a-8b62-49ee-b619-00c093744ad4,sophia.chen@vinylvibes.org,Sophia,Chen,(312) 555-0103,2025-12-31 02:26:42.523821+00
5649cbe7-6e3f-4a99-9105-265b67006a35,jacob.davis@bluenoterecords.com,Jacob,Davis,(412) 555-0114,2025-12-31 02:26:42.523821+00
5664a844-8608-4bf2-b119-242291db743a,claire.russell@soulfulsanctuary.org,Claire,Russell,(732) 555-0164,2025-12-31 02:26:42.523821+00
5b21cef3-d7d0-403d-aac6-6720f264e87a,madison.young@analogalchemy.co,Madison,Young,(619) 555-0129,2025-12-31 02:26:42.523821+00
62e3610a-a7fb-4f1a-ab41-2412483a140a,ryan.gomez@groovegoddess.net,Ryan,Gomez,(732) 555-0179,2025-12-31 02:26:42.523821+00
655aae9c-5039-4c72-82a8-e549d8437ebe,caleb.gonzalez@bluemoonrecords.com,Caleb,Gonzalez,(646) 555-0158,2025-12-31 02:26:42.523821+00
65fb34b7-a616-4bff-ba2e-6525282d6316,mia.brown@waxandwhispers.co,Mia,Brown,(602) 555-0113,2025-12-31 02:26:42.523821+00
6699c0a1-c020-427d-8370-f86dec5fa9e3,ella.hill@waxingpoetic.co,Ella,Hill,(281) 555-0133,2025-12-31 02:26:42.523821+00
